Power dependence  experiment 

Parameters:
Wavelength [nm]: 852.000000
Integration time [ms]: 100.000000
Threshold [V]: -0.200000
Beam diameter [um]: 1.100000

Power [mW] 	Power density [W/cm^2] 	Intensity (1Ch) [counts] 	Intensity (1Ch) [cps] 	Intensity (2Ch) [counts] 	Intensity (2Ch) [cps] 
0.274493	28883.918878	15.000000	150.000000	7.000000	70.000000
0.288156	30321.590641	26.000000	260.000000	4.000000	40.000000
0.300348	31604.521795	9.000000	90.000000	3.000000	30.000000
0.314149	33056.797149	18.000000	180.000000	7.000000	70.000000
0.328013	34515.591026	17.000000	170.000000	11.000000	110.000000
0.345799	36387.235313	22.000000	220.000000	6.000000	60.000000
0.363035	38200.852912	16.000000	160.000000	3.000000	30.000000
0.381154	40107.482706	14.000000	140.000000	7.000000	70.000000
0.399153	42001.444942	14.000000	140.000000	7.000000	70.000000
0.420150	44210.862349	12.000000	120.000000	2.000000	20.000000
0.442712	46584.955106	9.000000	90.000000	7.000000	70.000000
0.467996	49245.492588	19.000000	190.000000	8.000000	80.000000
0.495427	52131.995489	16.000000	160.000000	8.000000	80.000000
0.514626	54152.221311	24.000000	240.000000	7.000000	70.000000
0.544426	57287.985730	17.000000	170.000000	11.000000	110.000000
0.574649	60468.289304	24.000000	240.000000	10.000000	100.000000
0.605785	63744.620322	20.000000	200.000000	12.000000	120.000000
0.637465	67078.157734	28.000000	280.000000	11.000000	110.000000
0.670158	70518.343537	24.000000	240.000000	8.000000	80.000000
0.705228	74208.605126	22.000000	220.000000	11.000000	110.000000
0.742453	78125.656116	34.000000	340.000000	15.000000	150.000000
0.781282	82211.464482	23.000000	230.000000	15.000000	150.000000
0.825201	86832.978787	25.000000	250.000000	16.000000	160.000000
0.867917	91327.817726	35.000000	350.000000	12.000000	120.000000
0.917600	96555.724877	33.000000	330.000000	17.000000	170.000000
0.972769	102361.014291	35.000000	350.000000	19.000000	190.000000
1.022743	107619.570088	28.000000	280.000000	21.000000	210.000000
0.962001	101227.908154	36.000000	360.000000	11.000000	110.000000
1.010359	106316.474972	36.000000	360.000000	20.000000	200.000000
1.055506	111067.112750	40.000000	400.000000	9.000000	90.000000
1.098937	115637.136981	40.000000	400.000000	21.000000	210.000000
1.147737	120772.286669	41.000000	410.000000	36.000000	360.000000
1.196690	125923.374589	36.000000	360.000000	27.000000	270.000000
1.241988	130689.944957	42.000000	420.000000	25.000000	250.000000
1.285659	135285.309070	37.000000	370.000000	33.000000	330.000000
1.328946	139840.219153	44.000000	440.000000	29.000000	290.000000
1.383351	145565.009391	58.000000	580.000000	43.000000	430.000000
1.442784	151818.968366	51.000000	510.000000	26.000000	260.000000
1.511692	159069.956561	50.000000	500.000000	30.000000	300.000000
1.573017	165522.913835	66.000000	660.000000	35.000000	350.000000
1.632276	171758.483259	49.000000	490.000000	36.000000	360.000000
1.677185	176484.193103	66.000000	660.000000	44.000000	440.000000
1.733776	182439.039239	71.000000	710.000000	55.000000	550.000000
1.801632	189579.296948	83.000000	830.000000	51.000000	510.000000
1.875636	197366.400371	69.000000	690.000000	63.000000	630.000000
1.954357	205649.984849	58.000000	580.000000	51.000000	510.000000
2.032104	213831.003451	87.000000	870.000000	82.000000	820.000000
2.104830	221483.671876	93.000000	930.000000	52.000000	520.000000
2.173098	228667.240908	114.000000	1140.000000	98.000000	980.000000
2.229719	234625.357733	101.000000	1010.000000	86.000000	860.000000
2.313660	243458.124336	113.000000	1130.000000	92.000000	920.000000
2.376332	250052.873466	141.000000	1410.000000	92.000000	920.000000
2.433416	256059.616541	126.000000	1260.000000	92.000000	920.000000
2.475025	260437.993168	122.000000	1220.000000	124.000000	1240.000000
2.527585	265968.693439	170.000000	1700.000000	101.000000	1010.000000
2.586246	272141.330216	158.000000	1580.000000	119.000000	1190.000000
