TCSPC experiment 

Parameters:
Wavelength [nm]: 852.000000
Exposure time [s]: 100.000000
Threshold [V]: -0.200000
Beam power [mW]: 6.507800
Beam power density [W/cm^2]: 684792.375000
Beam diameter [um]: 1.100000

Time [s] 	Intensity (1Ch) [counts] 	Intensity (1Ch) [cps] 	Intensity (2Ch) [counts] 	Intensity (1Ch) [cps] 
0.000050	316.000000	0.063200	325.000000	0.065000
0.000100	13.000000	0.002600	12.000000	0.002400
0.000150	8.000000	0.001600	7.000000	0.001400
0.000200	2.000000	0.000400	0.000000	0.000000
0.000250	4.000000	0.000800	0.000000	0.000000
0.000300	0.000000	0.000000	1.000000	0.000200
0.000350	1.000000	0.000200	0.000000	0.000000
0.000400	0.000000	0.000000	0.000000	0.000000
0.000450	2.000000	0.000400	1.000000	0.000200
0.000500	0.000000	0.000000	1.000000	0.000200
0.000550	1.000000	0.000200	0.000000	0.000000
0.000600	1.000000	0.000200	0.000000	0.000000
0.000650	0.000000	0.000000	1.000000	0.000200
0.000700	1.000000	0.000200	0.000000	0.000000
0.000750	1.000000	0.000200	0.000000	0.000000
0.000800	0.000000	0.000000	0.000000	0.000000
0.000850	0.000000	0.000000	1.000000	0.000200
0.000900	0.000000	0.000000	0.000000	0.000000
0.000950	0.000000	0.000000	0.000000	0.000000
0.001000	2.000000	0.000400	0.000000	0.000000
0.001050	0.000000	0.000000	0.000000	0.000000
0.001100	0.000000	0.000000	0.000000	0.000000
0.001150	3.000000	0.000600	1.000000	0.000200
0.001200	1.000000	0.000200	1.000000	0.000200
0.001250	1.000000	0.000200	0.000000	0.000000
0.001300	1.000000	0.000200	0.000000	0.000000
0.001350	1.000000	0.000200	0.000000	0.000000
0.001400	1.000000	0.000200	1.000000	0.000200
0.001450	1.000000	0.000200	0.000000	0.000000
0.001500	0.000000	0.000000	0.000000	0.000000
0.001550	1.000000	0.000200	0.000000	0.000000
0.001600	0.000000	0.000000	0.000000	0.000000
0.001650	0.000000	0.000000	0.000000	0.000000
0.001700	1.000000	0.000200	0.000000	0.000000
0.001750	2.000000	0.000400	0.000000	0.000000
0.001800	1.000000	0.000200	0.000000	0.000000
0.001850	2.000000	0.000400	0.000000	0.000000
0.001900	2.000000	0.000400	1.000000	0.000200
0.001950	0.000000	0.000000	0.000000	0.000000
0.002000	2.000000	0.000400	0.000000	0.000000
0.002050	0.000000	0.000000	0.000000	0.000000
0.002100	2.000000	0.000400	0.000000	0.000000
0.002150	0.000000	0.000000	0.000000	0.000000
0.002200	0.000000	0.000000	0.000000	0.000000
0.002250	0.000000	0.000000	0.000000	0.000000
0.002300	0.000000	0.000000	0.000000	0.000000
0.002350	0.000000	0.000000	0.000000	0.000000
0.002400	2.000000	0.000400	0.000000	0.000000
0.002450	0.000000	0.000000	1.000000	0.000200
0.002500	2.000000	0.000400	0.000000	0.000000
0.002550	1.000000	0.000200	0.000000	0.000000
0.002600	1.000000	0.000200	0.000000	0.000000
0.002650	1.000000	0.000200	0.000000	0.000000
0.002700	0.000000	0.000000	0.000000	0.000000
0.002750	1.000000	0.000200	0.000000	0.000000
0.002800	1.000000	0.000200	0.000000	0.000000
0.002850	1.000000	0.000200	0.000000	0.000000
0.002900	1.000000	0.000200	0.000000	0.000000
0.002950	0.000000	0.000000	0.000000	0.000000
0.003000	1.000000	0.000200	0.000000	0.000000
0.003050	0.000000	0.000000	0.000000	0.000000
0.003100	0.000000	0.000000	0.000000	0.000000
0.003150	1.000000	0.000200	0.000000	0.000000
0.003200	0.000000	0.000000	0.000000	0.000000
0.003250	1.000000	0.000200	0.000000	0.000000
0.003300	0.000000	0.000000	2.000000	0.000400
0.003350	1.000000	0.000200	0.000000	0.000000
0.003400	0.000000	0.000000	0.000000	0.000000
0.003450	1.000000	0.000200	0.000000	0.000000
0.003500	0.000000	0.000000	0.000000	0.000000
0.003550	0.000000	0.000000	0.000000	0.000000
0.003600	0.000000	0.000000	0.000000	0.000000
0.003650	1.000000	0.000200	0.000000	0.000000
0.003700	1.000000	0.000200	0.000000	0.000000
0.003750	1.000000	0.000200	1.000000	0.000200
0.003800	0.000000	0.000000	0.000000	0.000000
