TCSPC experiment 

Parameters:
Wavelength [nm]: 852.000000
Exposure time [s]: 60.000000
Threshold [V]: -0.200000
Beam power [mW]: 12.645066
Beam power density [W/cm^2]: 1330594.875000
Beam diameter [um]: 1.100000

Time [s] 	Intensity (1Ch) [counts] 	Intensity (1Ch) [cps] 	Intensity (2Ch) [counts] 	Intensity (1Ch) [cps] 
0.000050	1689.000000	1.970500	1618.000000	1.887667
0.000100	80.000000	0.093333	76.000000	0.088667
0.000150	40.000000	0.046667	38.000000	0.044333
0.000200	21.000000	0.024500	14.000000	0.016333
0.000250	9.000000	0.010500	6.000000	0.007000
0.000300	4.000000	0.004667	1.000000	0.001167
0.000350	0.000000	0.000000	2.000000	0.002333
0.000400	3.000000	0.003500	1.000000	0.001167
0.000450	0.000000	0.000000	1.000000	0.001167
0.000500	0.000000	0.000000	1.000000	0.001167
0.000550	0.000000	0.000000	0.000000	0.000000
0.000600	0.000000	0.000000	0.000000	0.000000
0.000650	1.000000	0.001167	0.000000	0.000000
0.000700	0.000000	0.000000	0.000000	0.000000
0.000750	0.000000	0.000000	0.000000	0.000000
0.000800	2.000000	0.002333	0.000000	0.000000
0.000850	0.000000	0.000000	0.000000	0.000000
0.000900	1.000000	0.001167	0.000000	0.000000
0.000950	0.000000	0.000000	0.000000	0.000000
0.001000	1.000000	0.001167	1.000000	0.001167
0.001050	3.000000	0.003500	0.000000	0.000000
0.001100	1.000000	0.001167	0.000000	0.000000
0.001150	0.000000	0.000000	1.000000	0.001167
0.001200	0.000000	0.000000	0.000000	0.000000
0.001250	0.000000	0.000000	0.000000	0.000000
0.001300	0.000000	0.000000	0.000000	0.000000
0.001350	0.000000	0.000000	1.000000	0.001167
0.001400	2.000000	0.002333	0.000000	0.000000
0.001450	0.000000	0.000000	0.000000	0.000000
0.001500	0.000000	0.000000	0.000000	0.000000
0.001550	0.000000	0.000000	0.000000	0.000000
0.001600	2.000000	0.002333	0.000000	0.000000
0.001650	0.000000	0.000000	0.000000	0.000000
0.001700	0.000000	0.000000	0.000000	0.000000
0.001750	0.000000	0.000000	0.000000	0.000000
0.001800	0.000000	0.000000	0.000000	0.000000
0.001850	0.000000	0.000000	0.000000	0.000000
0.001900	0.000000	0.000000	0.000000	0.000000
0.001950	0.000000	0.000000	0.000000	0.000000
0.002000	0.000000	0.000000	0.000000	0.000000
0.002050	0.000000	0.000000	0.000000	0.000000
0.002100	0.000000	0.000000	0.000000	0.000000
0.002150	3.000000	0.003500	0.000000	0.000000
0.002200	0.000000	0.000000	0.000000	0.000000
0.002250	0.000000	0.000000	0.000000	0.000000
0.002300	2.000000	0.002333	0.000000	0.000000
0.002350	0.000000	0.000000	0.000000	0.000000
0.002400	0.000000	0.000000	0.000000	0.000000
0.002450	0.000000	0.000000	0.000000	0.000000
0.002500	0.000000	0.000000	0.000000	0.000000
0.002550	0.000000	0.000000	0.000000	0.000000
0.002600	0.000000	0.000000	0.000000	0.000000
0.002650	0.000000	0.000000	0.000000	0.000000
0.002700	0.000000	0.000000	1.000000	0.001167
0.002750	0.000000	0.000000	0.000000	0.000000
0.002800	0.000000	0.000000	0.000000	0.000000
0.002850	0.000000	0.000000	0.000000	0.000000
0.002900	0.000000	0.000000	0.000000	0.000000
0.002950	0.000000	0.000000	0.000000	0.000000
0.003000	0.000000	0.000000	0.000000	0.000000
0.003050	0.000000	0.000000	0.000000	0.000000
0.003100	0.000000	0.000000	0.000000	0.000000
0.003150	0.000000	0.000000	0.000000	0.000000
0.003200	2.000000	0.002333	0.000000	0.000000
0.003250	0.000000	0.000000	0.000000	0.000000
0.003300	2.000000	0.002333	0.000000	0.000000
0.003350	0.000000	0.000000	0.000000	0.000000
0.003400	0.000000	0.000000	0.000000	0.000000
0.003450	0.000000	0.000000	0.000000	0.000000
0.003500	0.000000	0.000000	0.000000	0.000000
0.003550	0.000000	0.000000	0.000000	0.000000
0.003600	0.000000	0.000000	0.000000	0.000000
0.003650	0.000000	0.000000	0.000000	0.000000
0.003700	0.000000	0.000000	0.000000	0.000000
0.003750	2.000000	0.002333	0.000000	0.000000
0.003800	0.000000	0.000000	0.000000	0.000000
0.003850	0.000000	0.000000	0.000000	0.000000
0.003900	1.000000	0.001167	0.000000	0.000000
0.003950	0.000000	0.000000	0.000000	0.000000
0.004000	2.000000	0.002333	0.000000	0.000000
0.004050	0.000000	0.000000	0.000000	0.000000
0.004100	0.000000	0.000000	0.000000	0.000000
0.004150	0.000000	0.000000	1.000000	0.001167
0.004200	0.000000	0.000000	0.000000	0.000000
0.004250	0.000000	0.000000	0.000000	0.000000
0.004300	2.000000	0.002333	0.000000	0.000000
0.004350	0.000000	0.000000	0.000000	0.000000
0.004400	0.000000	0.000000	0.000000	0.000000
0.004450	0.000000	0.000000	0.000000	0.000000
0.004500	1.000000	0.001167	0.000000	0.000000
0.004550	1.000000	0.001167	0.000000	0.000000
0.004600	2.000000	0.002333	0.000000	0.000000
0.004650	0.000000	0.000000	0.000000	0.000000
0.004700	1.000000	0.001167	0.000000	0.000000
0.004750	0.000000	0.000000	0.000000	0.000000
0.004800	0.000000	0.000000	0.000000	0.000000
0.004850	1.000000	0.001167	0.000000	0.000000
0.004900	1.000000	0.001167	0.000000	0.000000
0.004950	0.000000	0.000000	0.000000	0.000000
0.005000	0.000000	0.000000	0.000000	0.000000
0.005050	0.000000	0.000000	0.000000	0.000000
0.005100	0.000000	0.000000	0.000000	0.000000
0.005150	1.000000	0.001167	0.000000	0.000000
0.005200	0.000000	0.000000	0.000000	0.000000
0.005250	1.000000	0.001167	0.000000	0.000000
0.005300	0.000000	0.000000	0.000000	0.000000
0.005350	1.000000	0.001167	0.000000	0.000000
0.005400	0.000000	0.000000	0.000000	0.000000
0.005450	0.000000	0.000000	0.000000	0.000000
0.005500	0.000000	0.000000	0.000000	0.000000
0.005550	0.000000	0.000000	0.000000	0.000000
0.005600	0.000000	0.000000	0.000000	0.000000
0.005650	0.000000	0.000000	0.000000	0.000000
0.005700	0.000000	0.000000	0.000000	0.000000
0.005750	0.000000	0.000000	0.000000	0.000000
0.005800	0.000000	0.000000	0.000000	0.000000
0.005850	1.000000	0.001167	0.000000	0.000000
0.005900	0.000000	0.000000	0.000000	0.000000
0.005950	1.000000	0.001167	0.000000	0.000000
0.006000	2.000000	0.002333	0.000000	0.000000
0.006050	0.000000	0.000000	0.000000	0.000000
0.006100	2.000000	0.002333	0.000000	0.000000
0.006150	0.000000	0.000000	1.000000	0.001167
0.006200	0.000000	0.000000	0.000000	0.000000
